Geoid,tract,ResidentalBuildings,ResidentialVacancies,percent of vacant properties
42003562900,562900,1167,33,0.028277635
42003563000,563000,1521,36,0.023668639
42003563100,563100,1859,35,0.018827327
42003563200,563200,1846,70,0.037919827
42003563300,563300,657,0,0
42003563800,563800,1727,11,0.006369427
42003563900,563900,2103,50,0.023775559
42003564000,564000,2992,33,0.011029412
42003564100,564100,425,1,0.002352941
42003564200,564200,1037,35,0.033751205
42003564400,564400,3129,200,0.063918185
42003564500,564500,1109,20,0.018034265
42003980000,980000,0,0,#DIV/0!
42003980100,980100,54,2,0.037037037
42003980700,980700,11,2,0.181818182
42003981100,981100,7,0,0
42003982200,982200,476,4,0.008403361
